 ,267,1,NULL
.mail,261,5,.mail
0,264,1,NULL
1,265,1,NULL
2,262,1,NULL
220 mta100,-2,10,^MAIL FROM:<|421 4.7.0 [TS01]|220 mta100A
421 4.7.0 [TS01],-2,10,^MAIL FROM:<|421 4.7.0 [TS01]|220 mta100A
A,263,1,NULL
I,266,1,NULL
L,268,1,NULL
MAIL FROM:<,-2,10,^MAIL FROM:<|421 4.7.0 [TS01]|220 mta100A
^2,-4,2,NULL
^4,-5,2,NULL
^M,-6,2,NULL
