 -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -1 121 108 118 122 120 
 -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -1  -1  -1  -1  -1  -1 
 -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -1 110  97 116 117 115 
 -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -1  -1  -1  -1  -1  -1 
 -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -1 102 114  97 122 105 
 -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -1  -1  -1  -1  -1  -1 
 -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -1 261 261 261 261 261 
262  -1 264 267 109 116  97 265  -1  -1  55 261 261 261 261 261 
 -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  55 261 261 261 261 261 
 -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -1  -1  -1  -1  -1  -1 
 -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -1 110  99 116 108 121 
 -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  56 261 261 261 261 261 
 -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -1  -1  -1  -1  -1  -1 
 -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -1 115  97 109 117 114 
262  -1 264 267 109 116  97 265  -1  51  54 261 261 261 261 261 
262  -1 264 267 109 116  97 265  -1  -1  54 261 261 261 261 261 
262  -1 264 267 109 116  97 265  -1  -1  54 261 261 261 261 261 
 -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -1 110 105 117 116  97 
 -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  51 261 261 261 261 261 
262  -1 264 267 109 116  97 265  -1  -1  -1 261 261 261 261 261 
262  -1 264 267 109 116  97 265  -1  -1  -1 261 261 261 261 261 
262  -1 264 267 109 116  97 265  -1  51  -1 261 261 261 261 261 
 -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -1 110 105 110 101 110 
 -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -1  -1  -1  -1  -1  -1 
 -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -1  -1  -1  -1  -1  -1 
 -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  55 261 261 261 261 261 
 -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -1 100 114 111 105 116 
 -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  54 261 261 261 261 261 
 -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -1  -1  -1  -1  -1  -1 
 -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -1  -1  -1  -1  -1  -1 
 -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  52 261 261 261 261 261 
 -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -1 109  97 121  45  97 
262  -1 264 267 109 116  97 265  -1  -1  51 261 261 261 261 261 
 -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -1 110  97 110 116 111 
 -2  -2  -2  -2  -2  -2  -2  -2  -2  -2  -1  -1  -1  -1  -1  -1 
